modelo,repeticao,edital,perguntas,metrica,Doc. inteiro,RAG vetorial,Configuração híbrida,Configuração com busca adicional
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Tokens totais por pergunta,29755.8,5728,14687.0667,22234.4667
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Latência média (s),7.1716,5.4119,7.7263,12.0509
Claude Haiku 4.5,1,Todos,45,Acurácia sem referência,0.8889,0.7111,0.8889,0.9111
Claude Haiku 4.5,1,Todos,45,Acurácia com referência,0.5778,0.5333,0.8889,0.9111
Claude Haiku 4.5,1,Todos,45,Valores esperados (automático),0.9778,0.7556,0.9556,0.9333
Claude Haiku 4.5,1,Todos,45,Respostas totalmente referenciadas,0.6444,0.7111,1,1
Claude Haiku 4.5,1,Todos,45,Item esperado recuperado,1,0.7674,0.9767,0.9767
Claude Haiku 4.5,1,Todos,45,Citou o item esperado,0.9535,0.7674,0.9302,0.9535
Claude Haiku 4.5,1,Todos,45,Tokens de entrada por pergunta,20021.0444,5947.5778,11546.3111,14955.2667
Claude Haiku 4.5,1,Todos,45,Tokens totais por pergunta,21312.0667,7295.6667,16382.2444,20388.4444
Claude Haiku 4.5,1,Todos,45,Latência média (s),12.8024,13.2993,21.4336,28.7816
Claude Haiku 4.5,1,Subvenção Regional,15,Acurácia sem referência,0.8667,0.7333,0.9333,1
Claude Haiku 4.5,1,Subvenção Regional,15,Acurácia com referência,0.5333,0.6,0.9333,1
Claude Haiku 4.5,1,Subvenção Regional,15,Valores esperados (automático),1,0.8,1,1
Claude Haiku 4.5,1,Subvenção Regional,15,Respostas totalmente referenciadas,0.6667,0.7333,1,1
Claude Haiku 4.5,1,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,1,Subvenção Regional,15,Citou o item esperado,1,0.7857,0.9286,0.9286
Claude Haiku 4.5,1,Subvenção Regional,15,Tokens de entrada por pergunta,17198.2667,7027.4,12584.3333,12978.2667
Claude Haiku 4.5,1,Subvenção Regional,15,Tokens totais por pergunta,18489,8687.4667,17787.1333,17057.5333
Claude Haiku 4.5,1,Subvenção Regional,15,Latência média (s),12.7725,16.2871,26.8455,19.0264
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,0.8667,0.7333,0.8,0.8667
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.6,0.5333,0.8,0.8667
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),0.9333,0.8,0.8667,0.8667
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.6667,0.7333,1,1
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,0.9333,0.9333
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,0.8667,0.7333,0.8667,0.9333
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,20145.2,6763.8,11244.9333,16308.4
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,21381.5333,8145.4,15276.9333,22293.8
Claude Haiku 4.5,1,MIB R2 — Tecnologias Digitais,15,Latência média (s),12.2823,13.5774,13.6173,32.0451
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,0.9333,0.6667,0.9333,0.8667
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.6,0.4667,0.9333,0.8667
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),1,0.6667,1,0.9333
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.6,0.6667,1,1
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,1,1
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Citou o item esperado,1,0.7857,1,1
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Tokens de entrada por pergunta,22719.6667,4051.5333,10809.6667,15579.1333
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Tokens totais por pergunta,24065.6667,5054.1333,16082.6667,21814
Claude Haiku 4.5,1,Agricultura Familiar para ICTs 2026,15,Latência média (s),13.3522,10.0335,23.8381,35.2731
Claude Haiku 4.5,2,Todos,45,Acurácia sem referência,0.8889,0.7333,0.8444,0.8667
Claude Haiku 4.5,2,Todos,45,Acurácia com referência,0.5333,0.5111,0.7556,0.8667
Claude Haiku 4.5,2,Todos,45,Valores esperados (automático),0.9111,0.7556,0.8889,0.9111
Claude Haiku 4.5,2,Todos,45,Respostas totalmente referenciadas,0.6,0.6889,0.9111,0.9556
Claude Haiku 4.5,2,Todos,45,Item esperado recuperado,1,0.7674,0.9535,0.9535
Claude Haiku 4.5,2,Todos,45,Citou o item esperado,0.907,0.7674,0.907,0.9535
Claude Haiku 4.5,2,Todos,45,Tokens de entrada por pergunta,20020.9333,5947.5111,11563.4222,14319.5333
Claude Haiku 4.5,2,Todos,45,Tokens totais por pergunta,21344.9556,7321.3111,16698.9556,19524.1333
Claude Haiku 4.5,2,Todos,45,Latência média (s),13.7297,13.4059,21.9571,25.004
Claude Haiku 4.5,2,Subvenção Regional,15,Acurácia sem referência,1,0.8,0.8667,1
Claude Haiku 4.5,2,Subvenção Regional,15,Acurácia com referência,0.6667,0.6,0.8,1
